city,average_price,description,plan_type
Rome,95,"Discover the ancient ruins and rich history of Rome, including the Colosseum and Roman Forum. Explore the Vatican City and indulge in delicious Italian cuisine. This plan includes meals, accommodations, and transportation.",all inclusive
Rome,85,"Discover the ancient ruins and rich history of Rome, including the Colosseum and Roman Forum. Explore the Vatican City and indulge in delicious Italian cuisine. This plan includes PARTS OF accommodations and transportation, meals not included.",semi inclusive
Rome,80,"Discover the ancient ruins and rich history of Rome, including the Colosseum and Roman Forum. Explore the Vatican City and indulge in delicious Italian cuisine. This plan includes transportation and accommodations, meals not included.",only "transport and hotel"
Paris,100,"Experience the romantic charm of Paris with its iconic landmarks such as the Eiffel Tower and Louvre Museum. Stroll along the Champs-Élysées and savor exquisite French cuisine. This plan includes meals, accommodations, and transportation.",all inclusive
Paris,90,"Experience the romantic charm of Paris with its iconic landmarks such as the Eiffel Tower and Louvre Museum. Stroll along the Champs-Élysées and savor exquisite French cuisine. This plan includes PARTS OF accommodations and transportation, meals not included.",semi inclusive
Paris,85,"Experience the romantic charm of Paris with its iconic landmarks such as the Eiffel Tower and Louvre Museum. Stroll along the Champs-Élysées and savor exquisite French cuisine. This plan includes transportation and accommodations, meals not included.",only "transport and hotel"
Venice,95,"Explore the enchanting city of Venice with its picturesque canals and beautiful gondolas. Visit St. Mark's Square and indulge in Venetian cuisine. This plan includes meals, accommodations, and transportation.",all inclusive
Venice,85,"Explore the enchanting city of Venice with its picturesque canals and beautiful gondolas. Visit St. Mark's Square and indulge in Venetian cuisine. This plan includes PARTS OF accommodations and transportation, meals not included.",semi inclusive
Venice,80,"Explore the enchanting city of Venice with its picturesque canals and beautiful gondolas. Visit St. Mark's Square and indulge in Venetian cuisine. This plan includes transportation and accommodations, meals not included.",only "transport and hotel"
Florence,90,"Immerse yourself in the Renaissance art and architecture of Florence, including the iconic Duomo and Uffizi Gallery. Explore the charming streets and enjoy Tuscan delicacies. This plan includes meals, accommodations, and transportation.",all inclusive
Florence,80,"Immerse yourself in the Renaissance art and architecture of Florence, including the iconic Duomo and Uffizi Gallery. Explore the charming streets and enjoy Tuscan delicacies. This plan includes PARTS OF accommodations and transportation, meals not included.",semi inclusive
Florence,75,"Immerse yourself in the Renaissance art and architecture of Florence, including the iconic Duomo and Uffizi Gallery. Explore the charming streets and enjoy Tuscan delicacies. This plan includes transportation and accommodations, meals not included.",only "transport and hotel"
Vienna,95,"Experience the elegant charm of Vienna with its grand palaces, historic coffee houses, and classical music heritage. Visit the Schönbrunn Palace and enjoy a performance at the Vienna State Opera. This plan includes meals, accommodations, and transportation.",all inclusive
Vienna,85,"Experience the elegant charm of Vienna with its grand palaces, historic coffee houses, and classical music heritage. Visit the Schönbrunn Palace and enjoy a performance at the Vienna State Opera. This plan includes PARTS OF accommodations and transportation, meals not included.",semi inclusive
Vienna,80,"Experience the elegant charm of Vienna with its grand palaces, historic coffee houses, and classical music heritage. Visit the Schönbrunn Palace and enjoy a performance at the Vienna State Opera. This plan includes transportation and accommodations, meals not included.",only "transport and hotel"
Prague,90,"Discover the magical city of Prague with its stunning architecture, including Prague Castle and Charles Bridge. Explore the charming Old Town and savor traditional Czech cuisine. This plan includes meals, accommodations, and transportation.",all inclusive
Prague,80,"Discover the magical city of Prague with its stunning architecture, including Prague Castle and Charles Bridge. Explore the charming Old Town and savor traditional Czech cuisine. This plan includes PARTS OF accommodations and transportation, meals not included.",semi inclusive
Prague,75,"Discover the magical city of Prague with its stunning architecture, including Prague Castle and Charles Bridge. Explore the charming Old Town and savor traditional Czech cuisine. This plan includes transportation and accommodations, meals not included.",only "transport and hotel"
Dublin,95,"Experience the vibrant atmosphere of Dublin with its lively pubs, historic castles, and friendly locals. Explore Trinity College and enjoy traditional Irish music. This plan includes meals, accommodations, and transportation.",all inclusive
Dublin,85,"Experience the vibrant atmosphere of Dublin with its lively pubs, historic castles, and friendly locals. Explore Trinity College and enjoy traditional Irish music. This plan includes PARTS OF accommodations and transportation, meals not included.",semi inclusive
Dublin,80,"Experience the vibrant atmosphere of Dublin with its lively pubs, historic castles, and friendly locals. Explore Trinity College and enjoy traditional Irish music. This plan includes transportation and accommodations, meals not included.",only "transport and hotel"
Budapest,90,"Discover the beauty of Budapest with its stunning architecture, including the Parliament Building and Buda Castle. Take a relaxing dip in the thermal baths and enjoy Hungarian cuisine. This plan includes meals, accommodations, and transportation.",all inclusive
Budapest,80,"Discover the beauty of Budapest with its stunning architecture, including the Parliament Building and Buda Castle. Take a relaxing dip in the thermal baths and enjoy Hungarian cuisine. This plan includes PARTS OF accommodations and transportation, meals not included.",semi inclusive
Budapest,75,"Discover the beauty of Budapest with its stunning architecture, including the Parliament Building and Buda Castle. Take a relaxing dip in the thermal baths and enjoy Hungarian cuisine. This plan includes transportation and accommodations, meals not included.",only "transport and hotel"
Krakow,90,"Explore the historic city of Krakow with its well-preserved medieval architecture and fascinating Jewish heritage. Visit Wawel Castle and the historic Jewish Quarter. This plan includes meals, accommodations, and transportation.",all inclusive
Krakow,80,"Explore the historic city of Krakow with its well-preserved medieval architecture and fascinating Jewish heritage. Visit Wawel Castle and the historic Jewish Quarter. This plan includes PARTS OF accommodations and transportation, meals not included.",semi inclusive
Krakow,75,"Explore the historic city of Krakow with its well-preserved medieval architecture and fascinating Jewish heritage. Visit Wawel Castle and the historic Jewish Quarter. This plan includes transportation and accommodations, meals not included.",only "transport and hotel"
Stockholm,95,"Experience the stylish and modern city of Stockholm with its beautiful archipelago, trendy neighborhoods, and rich history. Visit the Vasa Museum and stroll along Gamla Stan. This plan includes meals, accommodations, and transportation.",all inclusive
Stockholm,85,"Experience the stylish and modern city of Stockholm with its beautiful archipelago, trendy neighborhoods, and rich history. Visit the Vasa Museum and stroll along Gamla Stan. This plan includes PARTS OF accommodations and transportation, meals not included.",semi inclusive
Stockholm,80,"Experience the stylish and modern city of Stockholm with its beautiful archipelago, trendy neighborhoods, and rich history. Visit the Vasa Museum and stroll along Gamla Stan. This plan includes transportation and accommodations, meals not included.",only "transport and hotel"
Lisbon,95,"Discover the vibrant city of Lisbon with its colorful neighborhoods, historic landmarks, and delicious cuisine. Explore the iconic Belém Tower and indulge in pastel de nata. This plan includes meals, accommodations, and transportation.",all inclusive
Lisbon,85,"Discover the vibrant city of Lisbon with its colorful neighborhoods, historic landmarks, and delicious cuisine. Explore the iconic Belém Tower and indulge in pastel de nata. This plan includes PARTS OF accommodations and transportation, meals not included.",semi inclusive
Lisbon,80,"Discover the vibrant city of Lisbon with its colorful neighborhoods, historic landmarks, and delicious cuisine. Explore the iconic Belém Tower and indulge in pastel de nata. This plan includes transportation and accommodations, meals not included.",only "transport and hotel"
Amsterdam,100,"Experience the charm of Amsterdam with its picturesque canals, historic architecture, and world-class museums. Visit the Anne Frank House and explore the vibrant Jordaan neighborhood. This plan includes meals, accommodations, and transportation.",all inclusive
Amsterdam,90,"Experience the charm of Amsterdam with its picturesque canals, historic architecture, and world-class museums. Visit the Anne Frank House and explore the vibrant Jordaan neighborhood. This plan includes PARTS OF accommodations and transportation, meals not included.",semi inclusive
Amsterdam,85,"Experience the charm of Amsterdam with its picturesque canals, historic architecture, and world-class museums. Visit the Anne Frank House and explore the vibrant Jordaan neighborhood. This plan includes transportation and accommodations, meals not included.",only "transport and hotel"
Madrid,95,"Explore the lively city of Madrid with its vibrant plazas, stunning art collections, and delicious tapas. Visit the Prado Museum and enjoy the lively atmosphere of Puerta del Sol. This plan includes meals, accommodations, and transportation.",all inclusive
